,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-04-13,4,2020-04-13,13.535714285714288,14.850000000000003,72.64285714285714,1013.6142857142859,234.21428571428572,2.7428571428571433,555.7857142857143,107.5,505.64285714285717
2020-04-14,4,2020-04-14,15.514285714285714,8.335714285714285,56.142857142857146,1016.8357142857143,178.78571428571428,3.0000000000000004,746.2142857142857,72.57142857142857,544.5714285714286
2020-04-15,4,2020-04-15,16.392857142857146,12.392857142857142,56.57142857142857,1013.7214285714286,245.64285714285714,2.6928571428571426,720.2142857142857,82.85714285714286,537.3571428571429
2020-04-16,4,2020-04-16,13.507142857142856,17.071428571428573,77.14285714285714,1008.0714285714287,236.14285714285714,3.178571428571428,104.21428571428571,244.42857142857142,308.2142857142857
2020-04-17,4,2020-04-17,12.87857142857143,18.821428571428566,75.35714285714286,1008.0071428571429,229.0,4.1000000000000005,22.357142857142858,243.14285714285714,261.64285714285717
2020-04-18,4,2020-04-18,13.314285714285713,16.92142857142857,70.21428571428571,1011.3071428571429,219.78571428571428,4.171428571428573,214.07142857142858,205.0,381.42857142857144
2020-04-19,4,2020-04-19,13.35,13.599999999999998,72.07142857142857,1012.3928571428571,235.71428571428572,3.357142857142857,393.92857142857144,143.42857142857142,413.92857142857144
2020-04-20,4,2020-04-20,12.964285714285714,17.264285714285716,74.85714285714286,1013.2642857142856,270.0,3.8285714285714287,300.2857142857143,216.28571428571428,406.07142857142856
2020-04-21,4,2020-04-21,13.064285714285717,16.9,73.78571428571429,1016.8285714285714,279.7142857142857,4.235714285714286,571.7857142857143,121.85714285714286,525.7142857142857
2020-04-22,4,2020-04-22,14.864285714285716,22.442857142857147,68.92857142857143,1018.7571428571428,243.71428571428572,3.5500000000000003,655.0,98.57142857142857,535.1428571428571
2020-04-23,4,2020-04-23,16.257142857142856,24.87142857142857,75.21428571428571,1017.65,289.85714285714283,3.985714285714285,619.0714285714286,103.21428571428571,534.7857142857143
2020-04-24,4,2020-04-24,17.128571428571426,17.750000000000004,59.07142857142857,1014.3714285714285,283.7857142857143,3.4,705.1428571428571,89.07142857142857,555.4285714285714
2020-04-25,4,2020-04-25,17.314285714285713,15.335714285714285,64.21428571428571,1012.2642857142857,266.92857142857144,2.5714285714285716,622.6428571428571,126.0,543.0714285714286
2020-04-26,4,2020-04-26,15.157142857142858,13.814285714285717,73.78571428571429,1011.7785714285716,264.2142857142857,4.235714285714286,584.6428571428571,114.64285714285714,537.7142857142857
2020-04-27,4,2020-04-27,15.314285714285713,20.150000000000002,65.14285714285714,1013.7714285714285,278.92857142857144,3.9285714285714293,697.6428571428571,94.07142857142857,554.7142857142857
2020-04-28,4,2020-04-28,16.664285714285715,26.35,71.92857142857143,1013.2499999999999,271.35714285714283,3.1357142857142857,717.4285714285714,81.28571428571429,557.0
2020-04-29,4,2020-04-29,14.407142857142858,21.699999999999996,80.5,1011.4857142857143,261.2142857142857,4.592857142857143,257.92857142857144,236.85714285714286,397.57142857142856
